2025-12-30T21:53:55.235056919Z I1230 21:53:55.234975       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T21:53:55.235088139Z I1230 21:53:55.235001       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T21:54:03.071795710Z I1230 21:54:03.071604       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T21:54:03.071839132Z I1230 21:54:03.071619       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T21:54:11.861266944Z I1230 21:54:11.861120       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T21:54:11.861305136Z I1230 21:54:11.861139       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T21:54:20.534086519Z I1230 21:54:20.533974       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T21:54:20.534119382Z I1230 21:54:20.533992       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T21:54:29.303400575Z I1230 21:54:29.303289       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T21:54:29.303431493Z I1230 21:54:29.303307       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T21:54:40.248970539Z I1230 21:54:40.248900       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T21:54:40.248980738Z I1230 21:54:40.248913       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T21:54:48.665202654Z I1230 21:54:48.665086       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T21:54:48.665234665Z I1230 21:54:48.665167       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T21:54:56.721119781Z I1230 21:54:56.720993       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T21:54:56.721147424Z I1230 21:54:56.721017       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T21:55:05.281664842Z I1230 21:55:05.280186       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T21:55:05.281698607Z I1230 21:55:05.280205       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T21:55:16.015764582Z I1230 21:55:16.015657       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T21:55:16.015812763Z I1230 21:55:16.015674       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T21:55:22.435118767Z I1230 21:55:22.434926       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T21:55:22.435156137Z I1230 21:55:22.434946       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T21:55:28.467298585Z I1230 21:55:28.467130       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T21:55:28.467333340Z I1230 21:55:28.467153       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T21:55:34.420031208Z I1230 21:55:34.419874       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T21:55:34.420061635Z I1230 21:55:34.419895       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T21:55:44.121860837Z I1230 21:55:44.121743       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T21:55:44.121884381Z I1230 21:55:44.121768       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T21:55:53.657050778Z I1230 21:55:53.656968       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T21:55:53.657070135Z I1230 21:55:53.656981       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T21:56:03.928479928Z I1230 21:56:03.928382       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T21:56:03.928497993Z I1230 21:56:03.928399       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T21:56:14.264504360Z I1230 21:56:14.264384       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T21:56:14.264529719Z I1230 21:56:14.264404       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T21:56:25.118566082Z I1230 21:56:25.118448       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T21:56:25.118589646Z I1230 21:56:25.118466       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T21:56:30.138128987Z I1230 21:56:30.137912       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T21:56:30.138168721Z I1230 21:56:30.137930       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T21:56:37.200569043Z I1230 21:56:37.200447       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T21:56:37.200593240Z I1230 21:56:37.200469       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T21:56:44.053317578Z I1230 21:56:44.053165       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T21:56:44.053352254Z I1230 21:56:44.053183       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T21:56:50.844177767Z I1230 21:56:50.844080       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T21:56:50.844204518Z I1230 21:56:50.844093       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T21:57:01.482871528Z I1230 21:57:01.482640       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T21:57:01.482918106Z I1230 21:57:01.482662       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T21:57:08.842513508Z I1230 21:57:08.842198       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T21:57:08.842534679Z I1230 21:57:08.842219       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T21:57:18.429811324Z I1230 21:57:18.429649       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T21:57:18.429862582Z I1230 21:57:18.429670       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T21:57:24.479070522Z I1230 21:57:24.478960       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T21:57:24.479096130Z I1230 21:57:24.478983       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T21:57:30.315353453Z I1230 21:57:30.315269       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T21:57:30.315388418Z I1230 21:57:30.315290       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T21:57:36.172032848Z I1230 21:57:36.171904       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T21:57:36.172062665Z I1230 21:57:36.171919       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T21:57:43.331248685Z I1230 21:57:43.331146       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T21:57:43.331277018Z I1230 21:57:43.331163       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T21:57:50.096845785Z I1230 21:57:50.096718       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T21:57:50.096871284Z I1230 21:57:50.096737       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T21:58:00.524588067Z I1230 21:58:00.524439       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T21:58:00.524617052Z I1230 21:58:00.524458       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T21:58:07.838152563Z I1230 21:58:07.837976       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T21:58:07.838196256Z I1230 21:58:07.837998       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T21:58:16.415475050Z I1230 21:58:16.415345       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T21:58:16.415505528Z I1230 21:58:16.415367       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T21:58:23.523443552Z I1230 21:58:23.523347       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T21:58:23.523461286Z I1230 21:58:23.523361       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T21:58:32.666817982Z I1230 21:58:32.666692       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T21:58:32.666856135Z I1230 21:58:32.666707       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T21:58:38.453231913Z I1230 21:58:38.453132       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T21:58:38.453252271Z I1230 21:58:38.453147       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T21:58:44.895823306Z I1230 21:58:44.895662       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T21:58:44.895862801Z I1230 21:58:44.895725       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T21:58:50.122125081Z I1230 21:58:50.121948       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T21:58:50.122162963Z I1230 21:58:50.121983       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T21:59:00.829567165Z I1230 21:59:00.829411       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T21:59:00.829598585Z I1230 21:59:00.829433       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T21:59:08.836384051Z I1230 21:59:08.836259       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T21:59:08.836416463Z I1230 21:59:08.836278       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T21:59:19.130036211Z I1230 21:59:19.129945       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T21:59:19.130061909Z I1230 21:59:19.129966       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T21:59:24.519722108Z I1230 21:59:24.519567       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T21:59:24.519777684Z I1230 21:59:24.519585       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T21:59:30.836046349Z I1230 21:59:30.835922       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T21:59:30.836094570Z I1230 21:59:30.835937       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T21:59:36.008937611Z I1230 21:59:36.008782       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T21:59:36.008993206Z I1230 21:59:36.008807       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T21:59:45.351952430Z I1230 21:59:45.351886       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T21:59:45.351967568Z I1230 21:59:45.351901       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T21:59:53.002509431Z I1230 21:59:53.002269       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T21:59:53.002564435Z I1230 21:59:53.002289       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T22:00:03.091048089Z I1230 22:00:03.090931       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T22:00:03.091080510Z I1230 22:00:03.090954       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T22:00:12.945946873Z I1230 22:00:12.945644       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T22:00:12.945971370Z I1230 22:00:12.945658       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T22:00:20.261157523Z I1230 22:00:20.261037       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T22:00:20.261230431Z I1230 22:00:20.261060       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T22:00:28.506159834Z I1230 22:00:28.506064       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T22:00:28.506191314Z I1230 22:00:28.506088       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T22:00:38.194596323Z I1230 22:00:38.194539       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T22:00:38.194612293Z I1230 22:00:38.194554       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T22:00:43.521895883Z I1230 22:00:43.521795       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
